n_nodes,actual_density,max_in_degree,alpha,kl,sample_size
10,0.2,2,0.1,1.4478398766227365,200
10,0.2,2,0.1,1.4371915667214057,600
10,0.2,2,0.1,1.4349807629542468,1000
10,0.2,2,0.1,1.4338732652310868,1400
10,0.2,2,0.1,2.1027686894937414,200
10,0.2,2,0.1,2.0630598490485097,600
10,0.2,2,0.1,2.059490373852765,1000
10,0.2,2,0.1,2.056858721453975,1400
10,0.2,2,0.5,0.07966633937268983,200
10,0.2,2,0.5,0.10399350094918032,600
10,0.2,2,0.5,0.057067038720587555,1000
10,0.2,2,0.5,0.027963050634610704,1400
10,0.2,2,0.5,0.15607697381515978,200
10,0.2,2,0.5,0.034196530836340486,600
10,0.2,2,0.5,0.011920127249839355,1000
10,0.2,2,0.5,0.013484792552704175,1400
10,0.2,2,0.5,0.1268248607661821,200
10,0.2,2,0.5,0.08880364053166023,600
10,0.2,2,0.5,0.0638864241217045,1000
10,0.2,2,0.5,0.04658473406083432,1400
10,0.2,2,0.5,0.08030126760959433,200
10,0.2,2,0.5,0.02164565396174975,600
10,0.2,2,0.5,0.01915608037104296,1000
10,0.2,2,0.5,0.008477055563476533,1400
10,0.2,2,0.5,0.09896031286372776,200
10,0.2,2,0.5,0.04521722617785942,600
10,0.2,2,0.5,0.023364600961241575,1000
10,0.2,2,0.5,0.01645768753530804,1400
10,0.2,2,1.0,0.14240011715308093,200
10,0.2,2,1.0,0.021860569478998865,600
10,0.2,2,1.0,0.010171259291368879,1000
10,0.2,2,1.0,0.010322743700222493,1400
10,0.2,2,1.0,0.10261206539180893,200
10,0.2,2,1.0,0.018242897413967545,600
10,0.2,2,1.0,0.018127282670465032,1000
10,0.2,2,1.0,0.016550238182949137,1400
10,0.2,2,1.0,0.06369270967113069,200
10,0.2,2,1.0,0.013115141062026055,600
10,0.2,2,1.0,0.01079750812884371,1000
10,0.2,2,1.0,0.007961507311322486,1400
10,0.2,2,1.0,0.04892732180188243,200
10,0.2,2,1.0,0.02167070445218315,600
10,0.2,2,1.0,0.016523533668857636,1000
10,0.2,2,1.0,0.010365339539514917,1400
10,0.2,2,1.0,0.07956191521445283,200
10,0.2,2,1.0,0.03420820996563215,600
10,0.2,2,1.0,0.01452178177714809,1000
10,0.2,2,1.0,0.011567978734149241,1400
10,0.2,2,5.0,0.03915971437307156,200
10,0.2,2,5.0,0.02969324495982207,600
10,0.2,2,5.0,0.01946545078876301,1000
10,0.2,2,5.0,0.0160594597116089,1400
10,0.2,2,5.0,0.04547625057297313,200
10,0.2,2,5.0,0.010071793951359726,600
10,0.2,2,5.0,0.009232237751457525,1000
10,0.2,2,5.0,0.008313552993622148,1400
10,0.2,2,5.0,0.07284858129715849,200
10,0.2,2,5.0,0.014986226771513574,600
10,0.2,2,5.0,0.007743385905975129,1000
10,0.2,2,5.0,0.0061203313858967795,1400
10,0.2,2,5.0,0.06217127498621945,200
10,0.2,2,5.0,0.010556045701990856,600
10,0.2,2,5.0,0.010108273307992601,1000
10,0.2,2,5.0,0.008218157126217304,1400
10,0.2,2,5.0,0.05898653553082461,200
10,0.2,2,5.0,0.018013303469031215,600
10,0.2,2,5.0,0.008801288719458516,1000
10,0.2,2,5.0,0.008302118442636262,1400
10,0.2,2,0.1,2.8604173470235645,200
10,0.2,2,0.1,2.8004790667077017,600
10,0.2,2,0.1,2.798546046749084,1000
10,0.2,2,0.1,2.7741661129770554,1400
10,0.2,2,0.1,1.7684311781893731,200
10,0.2,2,0.1,1.7547716875752908,600
10,0.2,2,0.1,1.6543268645120313,1000
10,0.2,2,0.1,1.5321733066932708,1400
10,0.2,2,0.1,1.5382156551764423,200
10,0.2,2,0.1,1.4264367176822124,600
10,0.2,2,0.1,1.4001560930622232,1000
10,0.2,2,0.1,1.4539867952411525,1400
10,0.2,2,0.1,1.4478398766227365,200
10,0.2,2,0.1,1.4371915667214057,600
10,0.2,2,0.1,1.4349807629542468,1000
10,0.2,2,0.1,1.4338732652310868,1400
10,0.2,2,0.1,2.1027686894937414,200
10,0.2,2,0.1,2.0630598490485097,600
10,0.2,2,0.1,2.059490373852765,1000
10,0.2,2,0.1,2.056858721453975,1400
10,0.2,2,0.5,0.07966633937268983,200
10,0.2,2,0.5,0.10399350094918032,600
10,0.2,2,0.5,0.057067038720587555,1000
10,0.2,2,0.5,0.027963050634610704,1400
10,0.2,2,0.5,0.15607697381515978,200
10,0.2,2,0.5,0.034196530836340486,600
10,0.2,2,0.5,0.011920127249839355,1000
10,0.2,2,0.5,0.013484792552704175,1400
10,0.2,2,0.5,0.1268248607661821,200
10,0.2,2,0.5,0.08880364053166023,600
10,0.2,2,0.5,0.0638864241217045,1000
10,0.2,2,0.5,0.04658473406083432,1400
10,0.2,2,0.5,0.08030126760959433,200
10,0.2,2,0.5,0.02164565396174975,600
10,0.2,2,0.5,0.01915608037104296,1000
10,0.2,2,0.5,0.008477055563476533,1400
10,0.2,2,0.5,0.09896031286372776,200
10,0.2,2,0.5,0.04521722617785942,600
10,0.2,2,0.5,0.023364600961241575,1000
10,0.2,2,0.5,0.01645768753530804,1400
10,0.2,2,1.0,0.14240011715308093,200
10,0.2,2,1.0,0.021860569478998865,600
10,0.2,2,1.0,0.010171259291368879,1000
10,0.2,2,1.0,0.010322743700222493,1400
10,0.2,2,1.0,0.10261206539180893,200
10,0.2,2,1.0,0.018242897413967545,600
10,0.2,2,1.0,0.018127282670465032,1000
10,0.2,2,1.0,0.016550238182949137,1400
10,0.2,2,1.0,0.06369270967113069,200
10,0.2,2,1.0,0.013115141062026055,600
10,0.2,2,1.0,0.01079750812884371,1000
10,0.2,2,1.0,0.007961507311322486,1400
10,0.2,2,1.0,0.04892732180188243,200
10,0.2,2,1.0,0.02167070445218315,600
10,0.2,2,1.0,0.016523533668857636,1000
10,0.2,2,1.0,0.010365339539514917,1400
10,0.2,2,1.0,0.07956191521445283,200
10,0.2,2,1.0,0.03420820996563215,600
10,0.2,2,1.0,0.01452178177714809,1000
10,0.2,2,1.0,0.011567978734149241,1400
10,0.2,2,5.0,0.03915971437307156,200
10,0.2,2,5.0,0.02969324495982207,600
10,0.2,2,5.0,0.01946545078876301,1000
10,0.2,2,5.0,0.0160594597116089,1400
10,0.2,2,5.0,0.04547625057297313,200
10,0.2,2,5.0,0.010071793951359726,600
10,0.2,2,5.0,0.009232237751457525,1000
10,0.2,2,5.0,0.008313552993622148,1400
10,0.2,2,5.0,0.07284858129715849,200
10,0.2,2,5.0,0.014986226771513574,600
10,0.2,2,5.0,0.007743385905975129,1000
10,0.2,2,5.0,0.0061203313858967795,1400
10,0.2,2,5.0,0.06217127498621945,200
10,0.2,2,5.0,0.010556045701990856,600
10,0.2,2,5.0,0.010108273307992601,1000
10,0.2,2,5.0,0.008218157126217304,1400
10,0.2,2,5.0,0.05898653553082461,200
10,0.2,2,5.0,0.018013303469031215,600
10,0.2,2,5.0,0.008801288719458516,1000
10,0.2,2,5.0,0.008302118442636262,1400
